zip,lat,lgt
03062,42.722014758,-71.487922257
03063,42.775113593,-71.512893245
03064,42.773344653,-71.4712604
03070,42.981065585,-71.679953394
03071,42.750795835,-71.868143356
03073,42.8197,-71.2158
03076,42.731666406,-71.32163334
03077,43.031167451,-71.192040293
03079,42.783952458,-71.218222165
03082,42.895583092,-71.774405299
03084,42.820129499,-71.849274258
03086,42.833740728,-71.756405412
03087,42.806623315,-71.302885392
03101,42.989803497,-71.463907241
03102,43.001089779,-71.485580935
03103,42.970362295,-71.448535639
03104,43.00452002,-71.446160275
03105,42.992219,-71.463115
03106,43.063091009,-71.444011839
03108,42.949234,-71.440208
03109,42.965850075,-71.408751655
03110,42.942547534,-71.51420884
03215,43.968839356,-71.507380394
03216,43.440510311,-71.7919558
03217,43.70180248,-71.63697207
03218,43.336305846,-71.28706712
03220,43.470930694,-71.479476652
03221,43.266687649,-71.953388219
03222,43.614379094,-71.751130677
03223,43.842318526,-71.650878172
03224,43.349425824,-71.547859532
03225,43.370788493,-71.241336796
03226,43.695843908,-71.512612264
03227,43.805821012,-71.43044042
03229,43.207178416,-71.697671891
03230,43.522537838,-71.865280993
03233,43.421077571,-71.946965286
03234,43.212987574,-71.352439388
03235,43.447625092,-71.652050011
